Task,Dataset,Gamma_Target,method,T,mult,lmax,c,miscov,length,rolling_std,frac_inf
rtfc,AMD,0.1,BCI(T=2),2,100x,3.4161e+01,1.4251e-02,0.0991221653255303,0.1034337941492218,0.026186615569533,0.0
rtfc,AMD,0.1,BCI(T=3),3,100x,3.4161e+01,2.8943e-02,0.099487929773226,0.1051178418506486,0.0247953022424464,0.0
rtfc,AMD,0.1,BCI(T=5),5,100x,3.4161e+01,5.8780e-02,0.0991221653255303,0.1036576899861649,0.0274435904176787,0.0
rtfc,Amazon,0.008,ACI,-,-,-,-,0.1002184598580011,0.0755539939635824,0.0659978697146297,0.0
rtfc,Amazon,0.008,BCI(T=2),2,100x,1.8377e+02,1.0000e-04,0.0816493719279082,0.0764112015826055,0.0616967963923259,0.0
rtfc,Amazon,0.008,BCI(T=3),3,100x,1.8377e+02,1.0000e-04,0.0860185690879301,0.0739556283187323,0.0636910008748503,0.0
rtfc,Amazon,0.008,BCI(T=5),5,100x,1.8377e+02,1.0000e-04,0.099399235390497,0.0707618867133754,0.0660406493491509,0.0
rtfc,Amazon,0.1,ACI,-,-,-,-,0.0999453850354997,0.0786768061902276,0.0270971958535181,0.0289459311851447
rtfc,Amazon,0.1,BCI(T=2),2,100x,1.8377e+02,3.4551e-03,0.0996723102129983,0.0752543527493691,0.0254728376103006,0.0
rtfc,Amazon,0.1,BCI(T=3),3,100x,1.8377e+02,3.4551e-03,0.099399235390497,0.0731878819744017,0.0317847056223694,0.0
rtfc,Amazon,0.1,BCI(T=5),5,100x,1.8377e+02,1.4251e-02,0.0996723102129983,0.0756841827124447,0.0245575271615522,0.0
rtfc,Nvidia,0.008,ACI,-,-,-,-,0.1007437457741717,0.0896416689409827,0.0625930280557229,0.0
rtfc,Nvidia,0.008,BCI(T=2),2,100x,2.3087e+01,8.3768e-04,0.1031102096010818,0.0821637990174413,0.0629697913163956,0.0
rtfc,Nvidia,0.008,BCI(T=3),3,100x,2.3087e+01,1.7013e-03,0.1027721433400946,0.0822009326957908,0.0608411681252134,0.0
rtfc,Nvidia,0.008,BCI(T=5),5,100x,2.3087e+01,3.4551e-03,0.1034482758620689,0.0824242313306999,0.0615670012441113,0.0
rtfc,Nvidia,0.1,ACI,-,-,-,-,0.1004056795131845,0.0928362482675702,0.0268028202136759,0.0429344151453684
rtfc,Nvidia,0.1,BCI(T=2),2,100x,2.3087e+01,1.4251e-02,0.1004056795131845,0.0847591504132531,0.0288138912280877,0.0
rtfc,Nvidia,0.1,BCI(T=3),3,100x,2.3087e+01,2.8943e-02,0.1004056795131845,0.0864721640486727,0.0276018901052736,0.0
rtfc,Nvidia,0.1,BCI(T=5),5,100x,2.3087e+01,5.8780e-02,0.1007437457741717,0.0867723788223531,0.0293896925779573,0.0
vlfc,AMD,0.008,ACI,-,-,-,-,0.1003022289384208,7.639287477231106,0.0400893190232851,0.0
vlfc,AMD,0.008,ACI,-,-,-,-,0.1003022289384208,7.639287477231106,0.0400893190232851,0.0
vlfc,AMD,0.008,BCI(T=2),2,100x,7.71e+04,4.3755e-03,0.0991688704193426,7.647545011397686,0.0383137703765183,0.0
vlfc,AMD,0.008,BCI(T=3),3,100x,7.71e+04,7.0170e-03,0.0991688704193426,7.633653206287101,0.0389301303809188,0.0
vlfc,AMD,0.008,BCI(T=5),5,100x,7.71e+04,1.1253e-02,0.0993577635058556,7.564410289437794,0.0409030209556272,0.0
vlfc,AMD,0.1,ACI,-,-,-,-,0.0999244427653947,8.206160731886248,0.0197034705461848,0.1074801662259161
vlfc,AMD,0.1,ACI,-,-,-,-,0.0999244427653947,8.206160731886248,0.0197034705461848,0.1074801662259161
vlfc,AMD,0.1,BCI(T=2),2,100x,7.71e+04,7.4438e-02,0.0997355496788817,8.60338307005453,0.0192524871265325,0.0
vlfc,AMD,0.1,BCI(T=3),3,100x,7.71e+04,7.4438e-02,0.0997355496788817,8.395762583738836,0.0202144824576805,0.0
vlfc,AMD,0.1,BCI(T=5),5,100x,7.71e+04,1.1938e-01,0.0997355496788817,8.28387850573743,0.0203691886323304,0.0
vlfc,Amazon,0.008,ACI,-,-,-,-,0.0992728422383812,6.001308416851646,0.0402535070357222,0.0
vlfc,Amazon,0.008,ACI,-,-,-,-,0.0992728422383812,6.001308416851646,0.0402535070357222,0.0
vlfc,Amazon,0.008,BCI(T=2),2,100x,6.41e+04,2.7283e-03,0.0987986089155864,6.079382848900424,0.0399392962520922,0.0
vlfc,Amazon,0.008,BCI(T=3),3,100x,6.41e+04,4.3755e-03,0.0987986089155864,6.075919236840539,0.0392904310746756,0.0
vlfc,Amazon,0.008,BCI(T=5),5,100x,6.41e+04,7.0170e-03,0.0986405311413215,6.023122227639251,0.0407691961108781,0.0
vlfc,Amazon,0.1,ACI,-,-,-,-,0.099905153335441,6.499917188119111,0.0202154264833777,0.0885235535883654
vlfc,Amazon,0.1,ACI,-,-,-,-,0.099905153335441,6.499917188119111,0.0202154264833777,0.0885235535883654
vlfc,Amazon,0.1,BCI(T=2),2,100x,6.41e+04,1.8047e-02,0.0995889977869111,6.458697328842854,0.0216715612125433,0.0
vlfc,Amazon,0.1,BCI(T=3),3,100x,6.41e+04,4.6416e-02,0.0997470755611761,6.552855104572101,0.0184330307029675,0.0
vlfc,Amazon,0.1,BCI(T=5),5,100x,6.41e+04,7.4438e-02,0.0997470755611761,6.450137655372876,0.0200643420192569,0.0
vlfc,Nvidia,0.008,ACI,-,-,-,-,0.0995670995670995,6.420760902174125,0.038426492694968,0.0
vlfc,Nvidia,0.008,ACI,-,-,-,-,0.0995670995670995,6.420760902174125,0.038426492694968,0.0
vlfc,Nvidia,0.008,ACI,-,-,-,-,0.0995670995670995,6.420760902174125,0.038426492694968,0.0
vlfc,Nvidia,0.008,BCI(T=2),2,100x,3.95e+04,4.3755e-03,0.1001082251082251,6.406554659023306,0.0384610312867574,0.0
vlfc,Nvidia,0.008,BCI(T=2),2,100x,3.95e+04,4.3755e-03,0.1001082251082251,6.406554659023306,0.0384610312867574,0.0
vlfc,Nvidia,0.008,BCI(T=3),3,100x,3.95e+04,7.0170e-03,0.1001082251082251,6.419819932234933,0.0381237005277455,0.0
vlfc,Nvidia,0.008,BCI(T=3),3,100x,3.95e+04,7.0170e-03,0.1001082251082251,6.419819932234933,0.0381237005277455,0.0
vlfc,Nvidia,0.008,BCI(T=5),5,100x,3.95e+04,1.1253e-02,0.1001082251082251,6.3604168608370255,0.0398071480637336,0.0
vlfc,Nvidia,0.1,ACI,-,-,-,-,0.1001082251082251,6.946616219192412,0.0197041238944483,0.1071428571428571
vlfc,Nvidia,0.1,ACI,-,-,-,-,0.1001082251082251,6.946616219192412,0.0197041238944483,0.1071428571428571
vlfc,Nvidia,0.1,BCI(T=2),2,100x,3.95e+04,4.6416e-02,0.1002886002886002,6.982827356870539,0.0186275759096491,0.0
vlfc,Nvidia,0.1,BCI(T=3),3,100x,3.95e+04,4.6416e-02,0.1001082251082251,6.799826926557849,0.0207851178543226,0.0
vlfc,Nvidia,0.1,BCI(T=5),5,100x,3.95e+04,4.9239e-01,0.1001082251082251,7.191417178877284,0.0200356025750926,0.0158730158730158
